year,avg_temp,Global MA,year,avg_temp,Virginia Beach MA,,,Correlation Coefficient,,,,Global overall average,
1916,8.23,8.26,1916,15.55,15.669,,,,,,,,
1917,8.02,8.267,1917,14.38,15.604,,,,,,,,
1918,8.13,8.261,1918,15.45,15.564,,,,,,,,
1919,8.38,8.281,1919,15.92,15.599,,,,,,,,
1920,8.36,8.295,1920,15.12,15.569,,,,,,,,
1921,8.57,8.334,1921,16.81,15.624,,,,,,,,
1922,8.41,8.358,1922,16.16,15.677,,,,,,,,
1923,8.42,8.37,1923,15.79,15.605,,,,,,,,
1924,8.51,8.362,1924,15.13,15.587,,,,,,,,
1925,8.53,8.356,1925,16.13,15.644,,,,,,,,
1926,8.73,8.406,1926,15.54,15.643,,,,,,,,
1927,8.52,8.456,1927,15.85,15.79,,,,,,,,
1928,8.63,8.506,1928,15.7,15.815,,,,,,,,
1929,8.24,8.492,1929,16.12,15.835,,,,,,,,
1930,8.63,8.519,1930,16.07,15.93,,,,,,,,
1931,8.72,8.534,1931,16.4,15.889,,,,,,,,
1932,8.71,8.564,1932,16.69,15.942,,,,,,,,
1933,8.34,8.556,1933,16.87,16.05,,,,,,,,
1934,8.63,8.568,1934,15.91,16.128,,,,,,,,
1935,8.52,8.567,1935,15.71,16.086,,,,,,,,
1936,8.55,8.549,1936,15.88,16.12,,,,,,,,
1937,8.7,8.567,1937,15.94,16.129,,,,,,,,
1938,8.86,8.59,1938,16.55,16.214,,,,,,,,
1939,8.76,8.642,1939,16.74,16.276,,,,,,,,
1940,8.76,8.655,1940,14.96,16.165,,,,,,,,
1941,8.77,8.66,1941,16.05,16.13,,,,,,,,
1942,8.73,8.662,1942,16.23,16.084,,,,,,,,
1943,8.76,8.704,1943,15.84,15.981,,,,,,,,
1944,8.85,8.726,1944,15.88,15.978,,,,,,,,
1945,8.58,8.732,1945,16.31,16.038,,,,,,,,
1946,8.68,8.745,1946,16.48,16.098,,,,,,,,
1947,8.8,8.755,1947,15.63,16.067,,,,,,,,
1948,8.75,8.744,1948,16.06,16.018,,,,,,,,
1949,8.59,8.727,1949,17.06,16.05,,,,,,,,
1950,8.37,8.688,1950,16.06,16.16,,,,,,,,
1951,8.63,8.674,1951,16.17,16.172,,,,,,,,
1952,8.64,8.665,1952,16.39,16.188,,,,,,,,
1953,8.87,8.676,1953,16.84,16.288,,,,,,,,
1954,8.56,8.647,1954,16.27,16.327,,,,,,,,
1955,8.63,8.652,1955,15.91,16.287,,,,,,,,
1956,8.28,8.612,1956,16.22,16.261,,,,,,,,
1957,8.73,8.605,1957,16.51,16.349,,,,,,,,
1958,8.77,8.607,1958,14.99,16.242,,,,,,,,
1959,8.73,8.621,1959,16.54,16.19,,,,,,,,
1960,8.58,8.642,1960,15.6,16.144,,,,,,,,
1961,8.8,8.659,1961,15.86,16.113,,,,,,,,
1962,8.75,8.67,1962,15.38,16.012,,,,,,,,
1963,8.86,8.669,1963,14.95,15.823,,,,,,,,
1964,8.41,8.654,1964,15.98,15.794,,,,,,,,
1965,8.53,8.644,1965,15.62,15.765,,,,,,,,
1966,8.6,8.676,1966,15.28,15.671,,,,,,,,
1967,8.7,8.673,1967,15.2,15.54,,,,,,,,
1968,8.52,8.648,1968,15.56,15.597,,,,,,,,
1969,8.6,8.635,1969,15.35,15.478,,,,,,,,
1970,8.7,8.647,1970,15.84,15.502,,,,,,,,
1971,8.6,8.627,1971,16.26,15.542,,,,,,,,
1972,8.5,8.602,1972,16.09,15.613,,,,,,,,
1973,8.95,8.611,1973,16.5,15.768,,,,,,,,
1974,8.47,8.617,1974,16.45,15.815,,,,,,,,
1975,8.74,8.638,1975,16.56,15.909,,,,,,,,
1976,8.35,8.613,1976,15.55,15.936,,,,,,,,
1977,8.85,8.628,1977,16.06,16.022,,,,,,,,
1978,8.69,8.645,1978,15.41,16.007,,,,,,,,
1979,8.73,8.658,1979,15.74,16.046,,,,,,,,
1980,8.98,8.686,1980,15.72,16.034,,,,,,,,
1981,9.17,8.743,1981,15.32,15.94,,,,,,,,
1982,8.64,8.757,1982,15.94,15.925,,,,,,,,
1983,9.03,8.765,1983,16.06,15.881,,,,,,,,
1984,8.69,8.787,1984,16.04,15.84,,,,,,,,
1985,8.66,8.779,1985,16.63,15.847,,,,,,,,
1986,8.83,8.827,1986,16.5,15.942,,,,,,,,
1987,8.99,8.841,1987,15.8,15.916,,,,,,,,
1988,9.2,8.892,1988,15.45,15.92,,,,,,,,
1989,8.92,8.911,1989,16.14,15.96,,,,,,,,
1990,9.23,8.936,1990,17.49,16.137,,,,,,,,
1991,9.18,8.937,1991,17.22,16.327,,,,,,,,
1992,8.84,8.957,1992,15.93,16.326,,,,,,,,
1993,8.87,8.941,1993,16.12,16.332,,,,,,,,
1994,9.04,8.976,1994,16.58,16.386,,,,,,,,
1995,9.35,9.045,1995,16.17,16.34,,,,,,,,
1996,9.04,9.066,1996,15.61,16.251,,,,,,,,
1997,9.2,9.087,1997,16.09,16.28,,,,,,,,
1998,9.52,9.119,1998,17.2,16.455,,,,,,,,
1999,9.29,9.156,1999,16.7,16.511,,,,,,,,
2000,9.2,9.153,2000,15.97,16.359,,,,,,,,
2001,9.41,9.176,2001,16.47,16.284,,,,,,,,
2002,9.57,9.249,2002,17.25,16.416,,,,,,,,
2003,9.53,9.315,2003,16.2,16.424,,,,,,,,
2004,9.32,9.343,2004,16.48,16.414,,,,,,,,
2005,9.7,9.378,2005,16.28,16.425,,,,,,,,
2006,9.53,9.427,2006,16.91,16.555,,,,,,,,
2007,9.73,9.48,2007,16.95,16.641,,,,,,,,
2008,9.43,9.471,2008,16.93,16.614,,,,,,,,
2009,9.51,9.493,2009,16.47,16.591,,,,,,,,
2010,9.7,9.543,2010,16.3,16.624,,,,,,,,
2011,9.52,9.554,2011,17.22,16.699,,,,,,,,
2012,9.51,9.548,2012,17.37,16.711,,,,,,,,
2013,9.61,9.556,2013,17.29,16.82,,,,,,,,
2014,9.57,9.581,,,16.85777778,,,,,,,,
2015,9.83,9.594,,,16.93,,,,,,,,
,,9.601111111,,,16.93285714,,,,,,,,
,,9.585,,,16.93,,,,,,,,
,,9.607142857,,,16.93,,,,,,,,
,,9.623333333,,,17.045,,,,,,,,
,,9.608,,,17.29333333,,,,,,,,
,,9.63,,,17.33,,,,,,,,
,,9.67,,,17.29,,,,,,,,
,,9.7,,,,,,,,,,,
,,9.83,,,,,,,,,,,
